date,state,income_mean,income_median
2002-01-01,Melaka,2650,2051.0
2004-01-01,Melaka,2791,2308.0
2007-01-01,Melaka,3421,2717.0
2009-01-01,Melaka,4184,3005.0
2012-01-01,Melaka,4759,3923.0
2014-01-01,Melaka,6046,5029.0
2016-01-01,Melaka,6849,5588.0
2019-01-01,Melaka,7741,6054.0
2020-01-01,Melaka,7186,5447.0
2022-01-01,Melaka,8057,6210.0
1970-01-01,Negeri Sembilan,286,
1974-01-01,Negeri Sembilan,386,273.0
1976-01-01,Negeri Sembilan,505,348.0
1979-01-01,Negeri Sembilan,629,486.0
1984-01-01,Negeri Sembilan,1039,753.0
1987-01-01,Negeri Sembilan,908,674.0
1989-01-01,Negeri Sembilan,1083,842.0
1992-01-01,Negeri Sembilan,1380,987.0
1995-01-01,Negeri Sembilan,1767,1358.0
1997-01-01,Negeri Sembilan,2378,1731.0
1999-01-01,Negeri Sembilan,2335,1777.0
2002-01-01,Negeri Sembilan,2739,2080.0
2004-01-01,Negeri Sembilan,2886,2288.0
2007-01-01,Negeri Sembilan,3336,2556.0
2009-01-01,Negeri Sembilan,3540,2711.0
2012-01-01,Negeri Sembilan,4576,3575.0
2014-01-01,Negeri Sembilan,5271,4128.0
2016-01-01,Negeri Sembilan,5887,4579.0
2019-01-01,Negeri Sembilan,6707,5005.0
2020-01-01,Negeri Sembilan,6184,4478.0
2022-01-01,Negeri Sembilan,6788,5226.0
1970-01-01,Pahang,286,
1974-01-01,Pahang,305,210.0
1976-01-01,Pahang,477,324.0
1979-01-01,Pahang,702,481.0
1984-01-01,Pahang,960,731.0
1987-01-01,Pahang,900,697.0
1989-01-01,Pahang,961,764.0
1992-01-01,Pahang,1262,957.0
1995-01-01,Pahang,1436,1138.0
1997-01-01,Pahang,1632,1259.0
1999-01-01,Pahang,1482,1202.0
2002-01-01,Pahang,1991,1423.0
2004-01-01,Pahang,2410,1783.0
2007-01-01,Pahang,2995,2235.0
2009-01-01,Pahang,3279,2479.0
2012-01-01,Pahang,3745,3067.0
2014-01-01,Pahang,4343,3389.0
2016-01-01,Pahang,5012,3979.0
2019-01-01,Pahang,5667,4440.0
2020-01-01,Pahang,5144,4033.0
2022-01-01,Pahang,5777,4753.0
1970-01-01,Perak,254,
1974-01-01,Perak,305,213.0
1976-01-01,Perak,436,286.0
1979-01-01,Perak,559,394.0
1984-01-01,Perak,883,646.0
1987-01-01,Perak,863,659.0
1989-01-01,Perak,973,719.0
1992-01-01,Perak,1274,958.0
1995-01-01,Perak,1436,1102.0
1997-01-01,Perak,1940,1522.0
1999-01-01,Perak,1743,1350.0
2002-01-01,Perak,2153,1613.0
2004-01-01,Perak,2207,1732.0
2007-01-01,Perak,2545,1905.0
2009-01-01,Perak,2809,2094.0
2012-01-01,Perak,3548,2665.0
2014-01-01,Perak,4268,3451.0
2016-01-01,Perak,5065,4006.0
2019-01-01,Perak,5645,4273.0
2020-01-01,Perak,5081,3759.0
2022-01-01,Perak,5779,4494.0
1970-01-01,Perlis,140,
1974-01-01,Perlis,206,147.0
1976-01-01,Perlis,338,196.0
1979-01-01,Perlis,316,223.0
1984-01-01,Perlis,692,485.0
1987-01-01,Perlis,711,544.0
1989-01-01,Perlis,817,635.0
1992-01-01,Perlis,1040,761.0
1995-01-01,Perlis,1158,889.0
1997-01-01,Perlis,1507,1114.0
1999-01-01,Perlis,1431,1086.0
2002-01-01,Perlis,2006,1431.0
2004-01-01,Perlis,2046,1459.0
2007-01-01,Perlis,2541,1746.0
2009-01-01,Perlis,2617,1832.0
2012-01-01,Perlis,3538,2387.0
2014-01-01,Perlis,4445,3500.0
2016-01-01,Perlis,4998,4204.0
2019-01-01,Perlis,5476,4594.0
2020-01-01,Perlis,4971,4043.0
2022-01-01,Perlis,5664,4713.0
1970-01-01,Pulau Pinang,292,
1974-01-01,Pulau Pinang,471,241.0
1976-01-01,Pulau Pinang,589,363.0
1979-01-01,Pulau Pinang,840,534.0
1984-01-01,Pulau Pinang,1183,812.0
1987-01-01,Pulau Pinang,1130,833.0
1989-01-01,Pulau Pinang,1326,988.0
1992-01-01,Pulau Pinang,1821,1365.0
1995-01-01,Pulau Pinang,2225,1693.0
1997-01-01,Pulau Pinang,3130,2338.0
1999-01-01,Pulau Pinang,3128,2323.0
2002-01-01,Pulau Pinang,3496,2572.0
2004-01-01,Pulau Pinang,3531,2650.0
2007-01-01,Pulau Pinang,4004,2902.0
2009-01-01,Pulau Pinang,4407,3200.0
2012-01-01,Pulau Pinang,5055,4039.0
2014-01-01,Pulau Pinang,5993,4702.0
2016-01-01,Pulau Pinang,6771,5409.0
2019-01-01,Pulau Pinang,7774,6169.0
2020-01-01,Pulau Pinang,6850,5474.0
2022-01-01,Pulau Pinang,8267,6502.0
1976-01-01,Sabah,513,309.0
1979-01-01,Sabah,767,493.0
1984-01-01,Sabah,1212,749.0
1987-01-01,Sabah,1116,726.0
1989-01-01,Sabah,1264,863.0
1992-01-01,Sabah,1490,994.0
1995-01-01,Sabah,1647,1133.0
1997-01-01,Sabah,2057,1390.0
1999-01-01,Sabah,1905,1264.0
2002-01-01,Sabah,2406,1583.0
2004-01-01,Sabah,2487,1606.0
2007-01-01,Sabah,2837,1189.0
2009-01-01,Sabah,3102,2066.0
2012-01-01,Sabah,4013,2860.0
2014-01-01,Sabah,4879,3745.0
2016-01-01,Sabah,5354,4110.0
2019-01-01,Sabah,5745,4235.0
2020-01-01,Sabah,5215,3773.0
2022-01-01,Sabah,6171,4577.0
1976-01-01,Sarawak,426,260.0
1979-01-01,Sarawak,582,365.0
1984-01-01,Sarawak,1033,660.0
1987-01-01,Sarawak,1141,754.0
1989-01-01,Sarawak,1190,819.0
1992-01-01,Sarawak,1480,999.0
1995-01-01,Sarawak,1886,1305.0
1997-01-01,Sarawak,2242,1499.0
1999-01-01,Sarawak,2276,1667.0
2002-01-01,Sarawak,2515,1704.0
2004-01-01,Sarawak,2725,1804.0
2007-01-01,Sarawak,3349,2250.0
2009-01-01,Sarawak,3581,2394.0
2012-01-01,Sarawak,4293,3047.0
2014-01-01,Sarawak,4934,3778.0
2016-01-01,Sarawak,5387,4163.0
2019-01-01,Sarawak,5959,4544.0
2020-01-01,Sarawak,5087,3831.0
2022-01-01,Sarawak,6457,4978.0
1970-01-01,Selangor,421,
1974-01-01,Selangor,598,363.0
1976-01-01,Selangor,735,441.0
1979-01-01,Selangor,1067,647.0
1984-01-01,Selangor,1590,1010.0
1987-01-01,Selangor,1558,1049.0
1989-01-01,Selangor,1658,1145.0
1992-01-01,Selangor,2280,1572.0
1995-01-01,Selangor,3162,2255.0
1997-01-01,Selangor,4006,2850.0
1999-01-01,Selangor,3702,2750.0
2002-01-01,Selangor,4406,3144.0
2004-01-01,Selangor,5175,3588.0
2007-01-01,Selangor,5580,4046.0
2009-01-01,Selangor,5962,4306.0
2012-01-01,Selangor,7023,5353.0
2014-01-01,Selangor,8252,6214.0
2016-01-01,Selangor,9463,7225.0
2019-01-01,Selangor,10827,8210.0
2020-01-01,Selangor,9668,7300.0
2022-01-01,Selangor,12233,9983.0
1970-01-01,Terengganu,173,
1974-01-01,Terengganu,206,130.0
1976-01-01,Terengganu,339,199.0
1979-01-01,Terengganu,360,258.0
1984-01-01,Terengganu,756,524.0
1987-01-01,Terengganu,694,472.0
1989-01-01,Terengganu,759,520.0
1992-01-01,Terengganu,939,680.0
1995-01-01,Terengganu,1117,756.0
1997-01-01,Terengganu,1497,1026.0
1999-01-01,Terengganu,1599,1155.0
2002-01-01,Terengganu,1837,1331.0
2004-01-01,Terengganu,1984,1353.0
2007-01-01,Terengganu,2463,1796.0
2009-01-01,Terengganu,3017,2096.0
2012-01-01,Terengganu,3967,3034.0
2014-01-01,Terengganu,4816,3777.0
2016-01-01,Terengganu,5776,4694.0
2019-01-01,Terengganu,6815,5545.0
2020-01-01,Terengganu,6051,4790.0
2022-01-01,Terengganu,7248,5878.0
1976-01-01,W.P. Kuala Lumpur,1058,645.0
1984-01-01,W.P. Kuala Lumpur,1920,1217.0
1987-01-01,W.P. Kuala Lumpur,1790,1180.0
1989-01-01,W.P. Kuala Lumpur,1824,1294.0
1992-01-01,W.P. Kuala Lumpur,2429,1753.0
1995-01-01,W.P. Kuala Lumpur,3371,2321.0
1997-01-01,W.P. Kuala Lumpur,4768,3090.0
1999-01-01,W.P. Kuala Lumpur,4105,2828.0
2002-01-01,W.P. Kuala Lumpur,4930,3364.0
2004-01-01,W.P. Kuala Lumpur,5011,3336.0
2007-01-01,W.P. Kuala Lumpur,5322,3697.0
2009-01-01,W.P. Kuala Lumpur,5488,4409.0
2012-01-01,W.P. Kuala Lumpur,8586,5847.0
2014-01-01,W.P. Kuala Lumpur,10629,7620.0
2016-01-01,W.P. Kuala Lumpur,11692,9073.0
2019-01-01,W.P. Kuala Lumpur,13257,10549.0
2020-01-01,W.P. Kuala Lumpur,11728,9093.0
2022-01-01,W.P. Kuala Lumpur,13325,10234.0
2007-01-01,W.P. Labuan,3726,2777.0
2009-01-01,W.P. Labuan,4407,3498.0
2012-01-01,W.P. Labuan,6317,5063.0
2014-01-01,W.P. Labuan,7591,5684.0
2016-01-01,W.P. Labuan,8174,5928.0
2019-01-01,W.P. Labuan,8319,6726.0
2020-01-01,W.P. Labuan,7333,6126.0
2022-01-01,W.P. Labuan,8250,6904.0
2007-01-01,W.P. Putrajaya,5294,4288.0
2009-01-01,W.P. Putrajaya,6747,5450.0
2012-01-01,W.P. Putrajaya,8101,6486.0
2014-01-01,W.P. Putrajaya,10401,7512.0
2016-01-01,W.P. Putrajaya,11555,8275.0
2019-01-01,W.P. Putrajaya,12840,9983.0
2020-01-01,W.P. Putrajaya,12322,9743.0
2022-01-01,W.P. Putrajaya,13473,10056.0
